SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,455 Hampton Ln,Key Biscayne,FL,33149,3800000,5,4.0,TROPICAL ISLE HOMES SUB 1,3468,7646,1995,52,1096,,Active,,,https://www.redfin.com/FL/Key-Biscayne/455-Hampton-Ln-33149/home/43431717,MARMLS,A11410042,N,Y,25.6926823,-80.1676924
MLS Listing,,Multi-Family (2-4 Unit),1133-1137 NE 17th Ave,Fort Lauderdale,FL,33304,2100000,8,3.5,PROGRESSO,5904,,1957,52,356,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/1133-1137-NE-17th-Ave-33304/home/185966166,MARMLS,A11402537,N,Y,26.14042,-80.1261938
MLS Listing,,Single Family Residential,5805 NW 54 Cir,Coral Springs,FL,33067,915000,4,3.0,Coral Creek Replat NO 5,2525,7800,2003,53,362,237,Active,,,https://www.redfin.com/FL/Coral-Springs/5805-NW-54th-Cir-33067/home/41993644,Beaches MLS,RX-10900711,N,Y,26.2959955,-80.2077518
MLS Listing,,Condo/Co-op,3640 N Ocean Dr Apt 929,Singer Island,FL,33404,414900,1,1.5,Villa Towers,720,,1972,57,576,803,Active,,,https://www.redfin.com/FL/Riviera-Beach/3640-N-Ocean-Dr-33404/unit-929/home/42465964,Beaches MLS,RX-10899783,N,Y,26.790511,-80.0331008
MLS Listing,,Single Family Residential,6756 Camille St,Boynton Beach,FL,33437,555000,3,2.0,Pipers Glen,1836,6018,1996,59,302,345,Active,,,https://www.redfin.com/FL/Boynton-Beach/6756-Camille-St-33437/home/42213301,Beaches MLS,RX-10899416,N,Y,26.4970175,-80.1512532
MLS Listing,,Condo/Co-op,5661 Riverside Dr Unit 306b7,Coral Springs,FL,33067,290000,2,2.0,Grand Oasis Condo,950,,1988,59,305,607,Active,,,https://www.redfin.com/FL/Coral-Springs/5661-Riverside-Dr-33067/unit-306B7/home/42022673,Beaches MLS,RX-10899415,N,Y,26.2984746,-80.2349632
MLS Listing,,Single Family Residential,3130 Hartridge Ter,Wellington,FL,33414,1299000,5,5.5,Olympia 2,4174,14869,2005,66,311,305,Active,,,https://www.redfin.com/FL/Wellington/3130-Hartridge-Ter-33414/home/42585110,Beaches MLS,RX-10897788,N,Y,26.6328967,-80.190536
MLS Listing,,Single Family Residential,2431 Key Largo Ln,Fort Lauderdale,FL,33312,924900,3,2.0,LAUDERDALE ISLES NO 2,1346,7152,1955,66,687,,Active,,,https://www.redfin.com/FL/Fort-Lauderdale/2431-Key-Largo-Ln-33312/home/41816336,MARMLS,A11402532,N,Y,26.0907832,-80.1938758
MLS Listing,,Condo/Co-op,9688 Fontainebleau Blvd #208,Miami,FL,33172,330000,2,2.0,GOLFVIEW CL FONTAINBL PK,1227,,1982,70,269,433,Active,,,https://www.redfin.com/FL/Miami/9688-Fontainebleau-Blvd-33172/unit-208/home/43052255,MARMLS,A11400690,N,Y,25.7723649,-80.3522488
MLS Listing,,Multi-Family (2-4 Unit),3111-3113 SW 12th St,Miami,FL,33135,1750000,6,5.0,CORAL RIDGE,5288,,2008,77,331,,Active,,,https://www.redfin.com/FL/Miami/3111-SW-12th-St-33135/home/43451029,MARMLS,A11397751,N,Y,25.761468,-80.2453446
